ano,id_municipio,tipo_estabelecimento,cnae_2,quantidade_vinculos_ativos,cep,geometry,grupo_cnae
2023,3106200,1,18130,0,30170124,POINT (610780.3676922158 7797053.733559791),C
2023,3106200,1,26515,0,31255170,POINT (609227.1011637574 7801658.210381579),C
2023,3106200,1,27406,0,30880240,POINT (603156.8438214557 7799023.531799974),C
2023,3106200,1,28402,0,31330340,POINT (604803.3221722123 7801974.703657243),C
2023,3106200,1,24113,0,30130141,POINT (611623.2563022304 7795304.397508532),C
2023,3106200,1,33147,0,30622260,POINT (605580.1755605629 7789620.0163781755),C
2023,3106200,1,10961,0,31620240,POINT (607843.824018744 7810399.556838471),C
2023,3106200,1,32990,0,30510280,POINT (605435.2158262194 7794828.855354768),C
2023,3106200,1,13405,0,31230770,POINT (609742.8608531607 7799844.526924474),C
2023,3106200,1,22293,0,31560200,POINT (607673.8073741391 7806531.948137606),C
2023,3106200,1,33147,0,30315350,POINT (611971.3050075219 7792666.537682263),C
2023,3106200,1,33139,0,30710180,POINT (609297.5492886758 7797553.93073993),C
2023,3106200,1,10911,0,30670370,POINT (602996.7896034747 7787033.088405335),C
2023,3106200,1,31012,0,30510203,POINT (605520.3330648938 7794913.808952622),C
2023,3106200,1,14134,0,31255510,POINT (610028.7737897424 7802721.422426606),C
2023,3106200,1,16293,0,30882560,POINT (603852.0670593004 7801562.947138259),C
2023,3106200,1,10911,0,30664000,POINT (600401.747247779 7788334.724737674),C
2023,3106200,1,10911,0,31814090,POINT (612546.6133723044 7804208.857691856),C
