stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
par_4_176,176,VINATEROS,Calle del Camino de los Vinateros 70,40.41024,-3.65273,A,http://www.crtm.es,0,,Europe/Madrid,0
acc_4_176_444,176,Vinateros impares,Calle del Camino de los Vinateros 75,40.40993,-3.65013,,http://www.crtm.es,2,est_4_176,,0
acc_4_176_445,176,Corregidor José de Pasamonte,Calle del Camino de los Vinateros 104,40.40951,-3.6499,,http://www.crtm.es,2,est_4_176,,0
acc_4_176_446,176,Vinateros pares,Calle del Camino de los Vinateros 59,40.41028,-3.6527,,http://www.crtm.es,2,est_4_176,,0
acc_4_176_447,176,Arroyo Belincoso,Calle del Arroyo Belincoso 36,40.41005,-3.65246,,http://www.crtm.es,2,est_4_176,,0
par_4_177,177,ARTILLEROS,Calle del Camino de los Vinateros 210,40.40522,-3.64181,A,http://www.crtm.es,0,,Europe/Madrid,0
acc_4_177_448,177,Vinateros impares,Calle del Camino de los Vinateros 119,40.40698,-3.64409,,http://www.crtm.es,2,est_4_177,,0
acc_4_177_450,177,Vinateros,Calle del Pico de los Artilleros 126,40.40538,-3.64149,,http://www.crtm.es,2,est_4_177,,0
acc_4_177_451,177,Pico de Artilleros,Calle del Pico de los Artilleros 59,40.40505,-3.64161,,http://www.crtm.es,2,est_4_177,,0
par_4_178,178,PAVONES,Calle de la Hacienda de Pavones 342,40.40051,-3.63512,A,http://www.crtm.es,0,,Europe/Madrid,0
acc_4_178_1095,178,Ascensor,Calle de la Hacienda de Pavones 342,40.40051,-3.63506,,http://www.crtm.es,2,est_4_178,,0
acc_4_178_452,178,Hacienda de Pavones impares,Calle de la Hacienda de Pavones 215,40.40084,-3.6355,,http://www.crtm.es,2,est_4_178,,0
par_4_179,179,VALDEBERNARDO,Bulv de Indalecio Prieto 26,40.40005,-3.62156,A,http://www.crtm.es,0,,Europe/Madrid,2
acc_4_179_454,179,Bulevar Indalecio Prieto - Raya,Bulv de Indalecio Prieto 20 A,40.40098,-3.62116,,http://www.crtm.es,2,est_4_179,,0
acc_4_179_455,179,Ascensor,Bulv de Indalecio Prieto 22,40.4008,-3.62133,,http://www.crtm.es,2,est_4_179,,0
par_4_180,180,VICALVARO,Calle de San Cipriano 11,40.40422,-3.60886,A,http://www.crtm.es,0,,Europe/Madrid,2
acc_4_180_458,180,Pº Artilleros pares,Paseo de los Artilleros 14,40.40482,-3.60917,,http://www.crtm.es,2,est_4_180,,0
acc_4_180_459,180,Ascensor,Paseo de los Artilleros 14,40.40433,-3.60924,,http://www.crtm.es,2,est_4_180,,0
par_4_181,181,SAN CIPRIANO,Calle de San Cipriano 68,40.40381,-3.60239,A,http://www.crtm.es,0,,Europe/Madrid,2
acc_4_181_460,181,San Cipriano pares,Calle de San Cipriano 44,40.4039,-3.60483,,http://www.crtm.es,2,est_4_181,,0
acc_4_181_461,181,San Cipriano impares,Calle de San Cipriano 55,40.40399,-3.6014,,http://www.crtm.es,2,est_4_181,,0
acc_4_181_462,181,Ascensor,Calle de San Cipriano 52,40.40385,-3.60367,,http://www.crtm.es,2,est_4_181,,0
par_4_182,182,PUERTA DE ARGANDA,Calle de San Cipriano 85,40.40132,-3.59598,A,http://www.crtm.es,0,,Europe/Madrid,2
acc_4_182_463,182,Terminal de Autobuses,Calle de San Cipriano 85,40.4014,-3.59588,,http://www.crtm.es,2,est_4_182,,0
acc_4_182_465,182,Ascensor no acceso independiente,Calle de San Cipriano 85,40.40133,-3.59584,,http://www.crtm.es,2,est_4_182,,0
par_4_183,183,RIVAS URBANIZACIONES,Plaza de Galicia 5,40.36677,-3.54728,B1,http://www.crtm.es,0,,Europe/Madrid,2
acc_4_183_467,183,Pº Ferrocarril,Paseo  Ferrocarril 9,40.3674,-3.54841,,http://www.crtm.es,2,est_4_183,,0
par_4_184,184,RIVAS VACIAMADRID,Calle   Areneros 6,40.32837,-3.5206,B2,http://www.crtm.es,0,,Europe/Madrid,2
acc_4_184_468,184,Wenceslao Garcia,Calle de Wenceslao García SN,40.32845,-3.52035,,http://www.crtm.es,2,est_4_184,,0
par_4_185,185,LA POVEDA,Parcela   9017 Polígono 1 S/N,40.31902,-3.47745,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_4_186,186,ARGANDA DEL REY,Paseo de la Estación 37,40.30367,-3.44752,B3,http://www.crtm.es,0,,Europe/Madrid,2
acc_4_186_470,186,Pº de la Estación,Paseo de la Estación 37,40.30353,-3.4475,,http://www.crtm.es,2,est_4_186,,0
par_4_300,300,RIVAS FUTURA,Calle   Concepción Arenal 1,40.34134,-3.52479,B2,http://www.crtm.es,0,,Europe/Madrid,2
acc_4_300_815,300,Concepción Arenal,Calle  Concepción Arenal 1,40.34126,-3.52489,,http://www.crtm.es,2,est_4_300,,0
acc_4_300_816,300,Marie Curie,Calle  Marie Curie 5,40.34021,-3.52617,,http://www.crtm.es,2,est_4_300,,0
acc_4_300_817,300,Ascensor exterior,Calle  Marie Curie 5,40.34004,-3.52601,,http://www.crtm.es,2,est_4_300,,0
par_4_326,326,MIRASIERRA,Avda del Ventisquero de la Condesa 28,40.4911,-3.71634,A,http://www.crtm.es,0,,Europe/Madrid,0
par_4_345,345,PACO DE LUCIA,Calle de Monasterio de Las Huelgas 5,40.49965,-3.70908,A,http://www.crtm.es,0,,Europe/Madrid,0
acc_4_345_1076,345,Ascensor Exterior,Calle de Monasterio de Las Huelgas 5,40.49962,-3.70924,,http://www.crtm.es,2,est_4_345,,0
est_4_161,161,HERRERA ORIA,Calle de Valencia de Don Juan 1,40.48466,-3.70751,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_162,162,BARRIO DEL PILAR,Calle de Ginzo de Limia 22,40.47689,-3.70316,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_163,163,VENTILLA,Avda de Asturias 39,40.46944,-3.69588,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_165,165,DUQUE DE PASTRANA,Calle de Mateo Inurria 41,40.46763,-3.67917,A,http://www.crtm.es,1,,Europe/Madrid,0
